Gmt time,Open,High,Low,Close,Volume
28.11.2010 22:00:00.000,1.32845,1.33011,1.30648,1.31252,141808899536.13
29.11.2010 22:00:00.000,1.31253,1.31511,1.29695,1.29836,238785001708.98
30.11.2010 22:00:00.000,1.29836,1.31792,1.29717,1.31393,210113201171.88
01.12.2010 22:00:00.000,1.31393,1.32479,1.30611,1.32100,197442201416.02
02.12.2010 22:00:00.000,1.32100,1.34385,1.31941,1.34163,175984598876.95
05.12.2010 22:00:00.000,1.33803,1.34232,1.32471,1.33088,173058999511.72
06.12.2010 22:00:00.000,1.33088,1.34011,1.32588,1.32618,178169001098.63
07.12.2010 22:00:00.000,1.32636,1.32807,1.31809,1.32623,189480601074.22
08.12.2010 22:00:00.000,1.32623,1.33234,1.31650,1.32393,174434100341.8
09.12.2010 22:00:00.000,1.32393,1.32830,1.31792,1.32259,144589899169.92
12.12.2010 22:00:00.000,1.31967,1.34338,1.31833,1.33926,172902799316.41
13.12.2010 22:00:00.000,1.33926,1.34988,1.33632,1.33790,193814399658.2
14.12.2010 22:00:00.000,1.33791,1.33825,1.32095,1.32143,196340000000
15.12.2010 22:00:00.000,1.32143,1.32662,1.31821,1.32446,167561198120.12
16.12.2010 22:00:00.000,1.32456,1.33593,1.31338,1.31895,163936599853.52
19.12.2010 22:00:00.000,1.31873,1.31896,1.30950,1.31316,188756113647.46
20.12.2010 22:00:00.000,1.31321,1.32023,1.30741,1.31017,194442982177.73
21.12.2010 22:00:00.000,1.31017,1.31812,1.30792,1.31009,158515739746.09
22.12.2010 22:00:00.000,1.31009,1.31521,1.30561,1.31137,135349011108.4
23.12.2010 22:00:00.000,1.31168,1.31490,1.30991,1.31242,63401901733.4
26.12.2010 22:00:00.000,1.31152,1.31710,1.30734,1.31661,101354695312.5
27.12.2010 22:00:00.000,1.31661,1.32754,1.30954,1.31157,136859358886.72
28.12.2010 22:00:00.000,1.31157,1.32393,1.30844,1.32258,130740390136.72
29.12.2010 22:00:00.000,1.32258,1.33149,1.32156,1.32896,141865659667.97
30.12.2010 22:00:00.000,1.32902,1.34254,1.32857,1.33864,108916920043.95
31.12.2010 22:00:00.000,1.33864,1.33864,1.33836,1.33836,0
02.01.2011 22:00:00.000,1.33466,1.33957,1.32513,1.33611,207737831542.97
03.01.2011 22:00:00.000,1.33611,1.34310,1.32932,1.33081,273733518798.83
04.01.2011 22:00:00.000,1.33105,1.33259,1.31272,1.31497,183048690673.83
05.01.2011 22:00:00.000,1.31497,1.31708,1.29980,1.30039,171777881103.52
06.01.2011 22:00:00.000,1.30045,1.30218,1.29061,1.29079,174326079589.84
09.01.2011 22:00:00.000,1.28795,1.29650,1.28747,1.29521,155412440185.55
10.01.2011 22:00:00.000,1.29523,1.29913,1.29081,1.29747,192693339721.68
11.01.2011 22:00:00.000,1.29747,1.31438,1.29632,1.31328,218635222167.97
12.01.2011 22:00:00.000,1.31330,1.33838,1.30899,1.33648,180142351074.22
13.01.2011 22:00:00.000,1.33648,1.34532,1.33148,1.33894,178005591552.73
16.01.2011 22:00:00.000,1.33838,1.33894,1.32451,1.32946,153105279541.02
17.01.2011 22:00:00.000,1.32947,1.34631,1.32537,1.33880,197834750732.42
18.01.2011 22:00:00.000,1.33881,1.35389,1.33693,1.34743,188272601806.64
19.01.2011 22:00:00.000,1.34755,1.35225,1.33968,1.34732,191552640380.86
20.01.2011 22:00:00.000,1.34731,1.36267,1.34500,1.36218,176363579589.84
23.01.2011 22:00:00.000,1.36435,1.36861,1.35413,1.36386,159193130859.38
24.01.2011 22:00:00.000,1.36386,1.37045,1.35753,1.36821,183069199584.96
25.01.2011 22:00:00.000,1.36821,1.37221,1.36454,1.37138,161446197998.05
26.01.2011 22:00:00.000,1.37138,1.37579,1.36396,1.37341,158132090820.31
27.01.2011 22:00:00.000,1.37341,1.37469,1.35841,1.36124,150827669311.52
30.01.2011 22:00:00.000,1.35874,1.37401,1.35711,1.36950,173411389648.44
31.01.2011 22:00:00.000,1.36947,1.38433,1.36890,1.38301,176471939697.27
01.02.2011 22:00:00.000,1.38296,1.38621,1.37700,1.38111,173273410888.67
02.02.2011 22:00:00.000,1.38111,1.38256,1.36102,1.36349,188275369140.63
03.02.2011 22:00:00.000,1.36349,1.36514,1.35442,1.35832,177888991455.08
06.02.2011 22:00:00.000,1.35636,1.36270,1.35091,1.35832,201385467895.51
07.02.2011 22:00:00.000,1.35833,1.36893,1.35731,1.36263,218605069335.94
08.02.2011 22:00:00.000,1.36263,1.37438,1.36116,1.37332,186746450195.31
09.02.2011 22:00:00.000,1.37332,1.37348,1.35780,1.36032,182376420532.23
10.02.2011 22:00:00.000,1.36048,1.36213,1.34981,1.35513,156611239746.09
13.02.2011 22:00:00.000,1.35084,1.35588,1.34290,1.34897,171446241455.08
