id,pair,mode,ind,p1,p2,p3,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p_adj
654,GBPUSD,Normal,DynETD,200,1.0,100,894,0.34849399927439395,0.49877643145640294,6.0896164e-06,0.3484940053068941,0.0,0.0,894,0.0
655,GBPUSD,Normal,DynETD,200,1.5,100,807,0.18040298305741354,0.49854780313780617,3.3524934e-06,0.1804030319357303,0.0,1.4889256905181725e-07,807,3.9309534950304615e-07
656,GBPUSD,Normal,DynETD,200,1.5,150,590,0.21180500370397895,0.49915556101455505,4.265359e-06,0.21180502637289333,0.0,1.3395562159512764e-07,590,3.559269560973103e-07
657,GBPUSD,Normal,DynETD,200,2.0,150,481,0.2469098201766713,0.4988310018314305,5.6745894e-06,0.24690988018219084,0.0,3.061757303246537e-08,481,8.813183348581179e-08
658,GBPUSD,Normal,DynETD,200,0.5,200,711,0.16209140361242994,0.4985884783107643,2.8147315e-06,0.16209138839900067,0.0,7.727579173777421e-06,711,1.585683944322149e-05
659,GBPUSD,Normal,DynETD,200,1.0,200,604,0.3340098818368792,0.49929941150566476,6.288347e-06,0.33400983338098483,0.0,1.1102230246251565e-16,604,8.682781956738253e-16
660,GBPUSD,Normal,DynETD,200,1.5,200,483,0.2715786108369212,0.4993322348451999,5.744758e-06,0.2715785948038962,0.0,1.1968296353970231e-09,483,4.083011389893548e-09
661,GBPUSD,Normal,DynETD,200,2.0,200,366,0.12777180593539733,0.5007780816749976,3.11911e-06,0.1277717800060199,0.0,0.007254301250505413,366,0.00865297228297696
662,GBPUSD,Normal,DynETD,200,0.5,250,659,0.21121865631832978,0.49872869385064506,3.7187224e-06,0.2112186318146482,0.0,2.943621524309492e-08,659,8.532385467316675e-08
663,GBPUSD,Normal,DynETD,200,1.0,250,546,0.17423018879212313,0.4986598996350365,3.3631875e-06,0.17423016316173276,0.0,2.3388395435697262e-05,546,4.4778244379198685e-05
664,GBPUSD,Normal,DynETD,200,1.5,300,356,0.10206973162015315,0.49861834750142386,2.4252836e-06,0.10206970906991679,0.0,0.02706171426433346,356,0.028910001449912934
665,GBPUSD,Normal,DynETD,200,0.5,350,585,0.15646116892479975,0.4995662956763955,2.8024297e-06,0.15646109529083038,0.0,7.707429976255842e-05,585,0.00013311373854825193
666,GBPUSD,Normal,DynETD,200,0.5,400,581,0.12270099828736668,0.498697564691716,2.1987491e-06,0.12270101069727321,0.0,0.0015503314808652524,581,0.0020696051491743872
667,GBPUSD,Normal,DynETD,200,0.5,500,556,0.12499801558535292,0.4994356029125371,2.2433574e-06,0.12499802600898735,0.0,0.0016022401655286789,556,0.0021320338639217893
